,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
98,2022,Norway,Subwoolfer,Give That Wolf A Banana,182,Grand Final,NaN,10th,0.737,0.526,7,-10.101,0,0.0411,0.2,2.78e-06,0.0884,0.554,124.075,171933
99,2022,Armenia,Rosa Linn,Snap,61,Grand Final,NaN,20th,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551
100,2022,Italy,Mahmood & BLANCO,Brividi,268,Grand Final,NaN,6th,0.729,0.589,3,-9.871,0,0.0483,0.0361,0,0.305,0.349,95.065,195133
101,2022,Spain,Chanel,SloMo,459,Grand Final,NaN,3rd,0.728,0.814,1,-3.29,0,0.0571,0.125,0.00448,0.0927,0.594,104.962,176286
102,2022,Netherlands,S10,De Diepte,171,Grand Final,NaN,11th,0.502,0.397,2,-8.819,0,0.0282,0.378,3.44e-05,0.143,0.159,90.043,176604
103,2022,Ukraine,Kalush Orchestra,Stefania,631,Grand Final,NaN,1st,0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,179546
104,2022,Germany,Malik Harris,Rockstars,6,Grand Final,NaN,25th,0.648,0.639,7,-6.429,1,0.23,0.453,0,0.38,0.521,81.004,179707
105,2022,Lithuania,Monika Liu,Sentimentai,128,Grand Final,NaN,14th,0.675,0.555,0,-7.995,1,0.0325,0.0902,0.00411,0.314,0.5,93.075,180000
106,2022,Azerbaijan,Nadir Rustamli,Fade To Black,106,Grand Final,NaN,16th,0.34,0.297,9,-9.792,0,0.063,0.189,0,0.141,0.299,78.705,177387
107,2022,Belgium,Jérémie Makiese,Miss You,64,Grand Final,NaN,19th,0.625,0.527,6,-6.269,0,0.0529,0.239,0,0.13,0.28,144.023,173333
108,2022,Greece,Amanda Georgiadi Tenfjord,Die Together,215,Grand Final,NaN,8th,0.475,0.366,5,-8.365,1,0.0661,0.122,0,0.102,0.202,149.982,175467
109,2022,Iceland,Systur,Með Hækkandi Sól,20,Grand Final,NaN,23rd,0.578,0.519,2,-11.559,0,0.0303,0.583,0.0392,0.0656,0.35,99.975,180733
110,2022,Moldova,Zdob şi Zdub & Advahov Brothers,Trenulețul,253,Grand Final,NaN,7th,0.701,0.884,0,-3.49,1,0.142,0.406,2.44e-05,0.319,0.955,141.975,180031
111,2022,Sweden,Cornelia Jakobs,Hold Me Closer,438,Grand Final,NaN,4th,0.489,0.616,6,-7.599,1,0.0382,0.107,0,0.145,0.168,96.819,199427
112,2022,Australia,Sheldon Riley,Not The Same,125,Grand Final,NaN,15th,0.355,0.429,10,-10.438,0,0.0388,0.662,0,0.145,0.376,127.876,178326
